element_system,composition,phase,functional,cutoff_energy,kpoint_density,pseudopotential,code,formation_energy,formation_energy_uncertainty,cohesive_energy,cohesive_energy_uncertainty,lattice_constant_a,lattice_constant_b,lattice_constant_c,lattice_constant_uncertainty,lattice_distortion,lattice_distortion_uncertainty,temperature,pressure,magnetic_ordering,source_id,source_doi,calculation_date,notes
Ni-Zr,"{""Ni"": 72.4, ""Zr"": 27.6}",TRI,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.5842,,4.5054,,6.4512,8.082,8.5668,,12.0151,,,0.0,,MP-PBESOL-mp-30260-f63f1b13066e,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-30260, Zr8Ni21, spacegroup=P-1; PBEsol variant (E_corr=-0.15 eV)"
Ni-Zr,"{""Ni"": 55.0, ""Zr"": 45.0}",BCT,LDA,600.0,8x8x8,PAW_PBE,VASP,-0.0788,,4.8757,,7.7726,,,,12.7744,,,0.0,,MP-LDA-mp-30814-d9c135e85a48,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-30814, Zr9Ni11, spacegroup=I4/m; LDA variant (E_corr=+0.30 eV)"
Ni-Zr,"{""Ni"": 55.0, ""Zr"": 45.0}",BCT,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.5288,,4.8757,,7.7726,,,,12.7744,,,0.0,,MP-PBESOL-mp-30814-d9c135e85a48,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-30814, Zr9Ni11, spacegroup=I4/m; PBEsol variant (E_corr=-0.15 eV)"
Ni-Zr,"{""Ni"": 50.0, ""Zr"": 50.0}",ORT,LDA,600.0,8x8x8,PAW_PBE,VASP,-0.1557,,4.8893,,3.2625,4.0372,5.2795,,12.6761,,,0.0,,MP-LDA-mp-556-e823398d7fce,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-556, ZrNi, spacegroup=Cmcm; LDA variant (E_corr=+0.30 eV)"
Ni-Zr,"{""Ni"": 50.0, ""Zr"": 50.0}",ORT,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.6057,,4.8893,,3.2625,4.0372,5.2795,,12.6761,,,0.0,,MP-PBESOL-mp-556-e823398d7fce,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-556, ZrNi, spacegroup=Cmcm; PBEsol variant (E_corr=-0.15 eV)"
Ni-Zr,"{""Ni"": 66.7, ""Zr"": 33.3}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,-0.112,,4.6307,,4.8875,,,,12.4763,,,0.0,,MP-LDA-mp-2250-16fbf67974c4,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-2250, ZrNi2, spacegroup=Fd-3m; LDA variant (E_corr=+0.30 eV)"
Ni-Zr,"{""Ni"": 66.7, ""Zr"": 33.3}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.562,,4.6307,,4.8875,,,,12.4763,,,0.0,,MP-PBESOL-mp-2250-16fbf67974c4,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-2250, ZrNi2, spacegroup=Fd-3m; PBEsol variant (E_corr=-0.15 eV)"
Ni-Zr,"{""Ni"": 75.0, ""Zr"": 25.0}",HCP,LDA,600.0,8x8x8,PAW_PBE,VASP,-0.1585,,4.434,,5.2646,,4.269,,11.7206,,,0.0,,MP-LDA-mp-485-fa35e705b8f8,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-485, ZrNi3, spacegroup=P6_3/mmc; LDA variant (E_corr=+0.30 eV)"
Ni-Zr,"{""Ni"": 75.0, ""Zr"": 25.0}",HCP,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.6085,,4.434,,5.2646,,4.269,,11.7206,,,0.0,,MP-PBESOL-mp-485-fa35e705b8f8,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-485, ZrNi3, spacegroup=P6_3/mmc; PBEsol variant (E_corr=-0.15 eV)"
Ni-Zr,"{""Ni"": 83.3, ""Zr"": 16.7}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,-0.02,,4.4223,,4.7004,,,,10.3276,,,0.0,,MP-LDA-mp-2439-202c49de7fb7,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-2439, ZrNi5, spacegroup=F-43m; LDA variant (E_corr=+0.30 eV)"
Ni-Zr,"{""Ni"": 83.3, ""Zr"": 16.7}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.47,,4.4223,,4.7004,,,,10.3276,,,0.0,,MP-PBESOL-mp-2439-202c49de7fb7,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-2439, ZrNi5, spacegroup=F-43m; PBEsol variant (E_corr=-0.15 eV)"
Ti-Zr,"{""Ti"": 50.0, ""Zr"": 50.0}",HCP,LDA,600.0,8x8x8,PAW_PBE,VASP,0.3796,,5.6296,,3.109,,4.9205,,4.2345,,,0.0,,MP-LDA-mp-1215200-ebc3946d90bd,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1215200, ZrTi, spacegroup=P-6m2; LDA variant (E_corr=+0.30 eV)"
Ti-Zr,"{""Ti"": 50.0, ""Zr"": 50.0}",HCP,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.0704,,5.6296,,3.109,,4.9205,,4.2345,,,0.0,,MP-PBESOL-mp-1215200-ebc3946d90bd,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1215200, ZrTi, spacegroup=P-6m2; PBEsol variant (E_corr=-0.15 eV)"
Ti-Zr,"{""Ti"": 50.0, ""Zr"": 50.0}",BCT,LDA,600.0,8x8x8,PAW_PBE,VASP,0.3883,,5.6383,,3.1119,,4.1978,,4.2345,,,0.0,,MP-LDA-mp-1215236-5c910a952c5d,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1215236, ZrTi, spacegroup=P4/mmm; LDA variant (E_corr=+0.30 eV)"
Ti-Zr,"{""Ti"": 50.0, ""Zr"": 50.0}",BCT,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.0617,,5.6383,,3.1119,,4.1978,,4.2345,,,0.0,,MP-PBESOL-mp-1215236-5c910a952c5d,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1215236, ZrTi, spacegroup=P4/mmm; PBEsol variant (E_corr=-0.15 eV)"
Ti-Zr,"{""Ti"": 66.7, ""Zr"": 33.3}",HCP,LDA,600.0,8x8x8,PAW_PBE,VASP,0.3378,,5.354,,4.7244,,3.0034,,4.0486,,,0.0,,MP-LDA-mp-1008568-4d092d9e94f1,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1008568, ZrTi2, spacegroup=P6/mmm; LDA variant (E_corr=+0.30 eV)"
Ti-Zr,"{""Ti"": 66.7, ""Zr"": 33.3}",HCP,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.1122,,5.354,,4.7244,,3.0034,,4.0486,,,0.0,,MP-PBESOL-mp-1008568-4d092d9e94f1,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1008568, ZrTi2, spacegroup=P6/mmm; PBEsol variant (E_corr=-0.15 eV)"
Ti-Zr,"{""Ti"": 66.7, ""Zr"": 33.3}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,0.4552,,5.4714,,5.5349,,,,4.0486,,,0.0,,MP-LDA-mp-1080389-c5bb54bcb525,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1080389, ZrTi2, spacegroup=Fd-3m; LDA variant (E_corr=+0.30 eV)"
Ti-Zr,"{""Ti"": 66.7, ""Zr"": 33.3}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,0.0052,,5.4714,,5.5349,,,,4.0486,,,0.0,,MP-PBESOL-mp-1080389-c5bb54bcb525,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1080389, ZrTi2, spacegroup=Fd-3m; PBEsol variant (E_corr=-0.15 eV)"
Ti-Zr,"{""Ti"": 75.0, ""Zr"": 25.0}",HCP,LDA,600.0,8x8x8,PAW_PBE,VASP,0.3405,,5.2405,,6.0573,,4.754,,3.7465,,,0.0,,MP-LDA-mp-1183046-01e835f8cb44,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1183046, ZrTi3, spacegroup=P6_3/mmc; LDA variant (E_corr=+0.30 eV)"
Ti-Zr,"{""Ti"": 75.0, ""Zr"": 25.0}",HCP,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.1095,,5.2405,,6.0573,,4.754,,3.7465,,,0.0,,MP-PBESOL-mp-1183046-01e835f8cb44,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1183046, ZrTi3, spacegroup=P6_3/mmc; PBEsol variant (E_corr=-0.15 eV)"
Cr-Fe,"{""Cr"": 66.7, ""Fe"": 33.3}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,0.5892,,4.4492,,4.6566,,,,0.7402,,,0.0,,MP-LDA-mp-1077708-982b834d5b9d,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1077708, Cr2Fe, spacegroup=Fd-3m; LDA variant (E_corr=+0.30 eV)"
Cr-Fe,"{""Cr"": 66.7, ""Fe"": 33.3}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,0.1392,,4.4492,,4.6566,,,,0.7402,,,0.0,,MP-PBESOL-mp-1077708-982b834d5b9d,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1077708, Cr2Fe, spacegroup=Fd-3m; PBEsol variant (E_corr=-0.15 eV)"
Cr-Fe,"{""Cr"": 75.0, ""Fe"": 25.0}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,0.4268,,4.2718,,4.0344,,,,0.6792,,,0.0,,MP-LDA-mp-1008282-da5c646fbf3f,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1008282, Cr3Fe, spacegroup=Fm-3m; LDA variant (E_corr=+0.30 eV)"
Cr-Fe,"{""Cr"": 75.0, ""Fe"": 25.0}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.0232,,4.2718,,4.0344,,,,0.6792,,,0.0,,MP-PBESOL-mp-1008282-da5c646fbf3f,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1008282, Cr3Fe, spacegroup=Fm-3m; PBEsol variant (E_corr=-0.15 eV)"
Cr-Fe,"{""Cr"": 75.0, ""Fe"": 25.0}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,0.5594,,4.4044,,3.5727,,,,0.6792,,,0.0,,MP-LDA-mp-1008285-89a05a110702,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1008285, Cr3Fe, spacegroup=Pm-3m; LDA variant (E_corr=+0.30 eV)"
Cr-Fe,"{""Cr"": 75.0, ""Fe"": 25.0}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,0.1094,,4.4044,,3.5727,,,,0.6792,,,0.0,,MP-PBESOL-mp-1008285-89a05a110702,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1008285, Cr3Fe, spacegroup=Pm-3m; PBEsol variant (E_corr=-0.15 eV)"
Cr-Fe,"{""Cr"": 75.0, ""Fe"": 25.0}",BCT,LDA,600.0,8x8x8,PAW_PBE,VASP,0.5702,,4.4152,,4.6928,,,,0.6792,,,0.0,,MP-LDA-mp-1017511-6b461736d9fc,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1017511, Cr3Fe, spacegroup=I4/mmm; LDA variant (E_corr=+0.30 eV)"
Cr-Fe,"{""Cr"": 75.0, ""Fe"": 25.0}",BCT,PBEsol,500.0,8x8x8,PAW_PBE,VASP,0.1202,,4.4152,,4.6928,,,,0.6792,,,0.0,,MP-PBESOL-mp-1017511-6b461736d9fc,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1017511, Cr3Fe, spacegroup=I4/mmm; PBEsol variant (E_corr=-0.15 eV)"
Cr-Fe,"{""Cr"": 50.0, ""Fe"": 50.0}",ORT,LDA,600.0,8x8x8,PAW_PBE,VASP,0.3928,,4.2828,,2.4294,,4.023,,0.7874,,,0.0,,MP-LDA-mp-1226211-5cafd38667c7,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1226211, CrFe, spacegroup=Cmmm; LDA variant (E_corr=+0.30 eV)"
Cr-Fe,"{""Cr"": 50.0, ""Fe"": 50.0}",ORT,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.0572,,4.2828,,2.4294,,4.023,,0.7874,,,0.0,,MP-PBESOL-mp-1226211-5cafd38667c7,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1226211, CrFe, spacegroup=Cmmm; PBEsol variant (E_corr=-0.15 eV)"
Cr-Fe,"{""Cr"": 25.0, ""Fe"": 75.0}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,0.3637,,4.2987,,4.0694,,,,0.6846,,,0.0,,MP-LDA-mp-1018067-70244e4efadf,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1018067, CrFe3, spacegroup=Fm-3m; LDA variant (E_corr=+0.30 eV)"
Cr-Fe,"{""Cr"": 25.0, ""Fe"": 75.0}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.0863,,4.2987,,4.0694,,,,0.6846,,,0.0,,MP-PBESOL-mp-1018067-70244e4efadf,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1018067, CrFe3, spacegroup=Fm-3m; PBEsol variant (E_corr=-0.15 eV)"
