composition,formation_energy,lattice_distortion,source,functional,calculation_id
"{""Mo"": 0.124202, ""U"": 0.753116, ""Zr"": 0.122682}",0.200602,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo12_U75_Zr12_47
"{""Nb"": 0.075497, ""U"": 0.924503}",0.273901,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb8_U92_281
"{""Cr"": 0.024104999999999998, ""U"": 0.975895}",0.500625,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr2_U98_261
"{""Nb"": 0.086347, ""U"": 0.913653}",0.274997,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb9_U91_154
"{""Ti"": 0.09353500000000001, ""U"": 0.906465}",0.110497,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti9_U91_169
"{""Nb"": 0.07885099999999999, ""U"": 0.921149}",0.274228,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb8_U92_56
"{""Si"": 0.005054, ""U"": 0.994946}",-0.722300,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si1_U99_318
"{""Si"": 0.014254, ""U"": 0.985746}",-0.720844,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si1_U99_68
"{""Cr"": 0.078977, ""U"": 0.921023}",0.462106,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr8_U92_299
"{""Ti"": 0.035478, ""U"": 0.964522}",0.107307,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti4_U96_234
"{""Si"": 0.015361, ""U"": 0.984639}",-0.720654,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si2_U98_317
"{""Si"": 0.011335999999999999, ""U"": 0.988664}",-0.721307,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si1_U99_101
"{""Cr"": 0.072565, ""Nb"": 0.065371, ""U"": 0.8620639999999999}",0.308882,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr7_Nb7_U86_187
"{""Mo"": 0.078897, ""U"": 0.921103}",0.200902,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo8_U92_98
"{""Mo"": 0.141101, ""U"": 0.858899}",0.200487,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo14_U86_117
"{""Ti"": 0.058922, ""U"": 0.941078}",0.108497,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti6_U94_103
"{""Fe"": 0.030587, ""U"": 0.969413}",-0.031398,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe3_U97_266
"{""Mn"": 0.049834, ""U"": 0.950166}",-0.052173,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn5_U95_144
"{""Mn"": 0.019125, ""Nb"": 0.137871, ""U"": 0.843004}",0.285725,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn2_Nb14_U84_5
"{""Al"": 0.016603, ""U"": 0.983397}",-0.175612,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al2_U98_223
"{""U"": 0.878359, ""Zr"": 0.121641}",0.309771,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U88_Zr12_323
"{""Ru"": 0.08319700000000001, ""U"": 0.916803}",-1.832137,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru8_U92_306
"{""Mn"": 0.050032, ""Ru"": 0.036378, ""U"": 0.91359}",-0.061397,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn5_Ru4_U91_176
"{""Nb"": 33.3, ""U"": 33.3, ""Zr"": 33.3}",0.279629,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb3330_U3330_Zr3330_237
"{""Nb"": 0.09210499999999999, ""U"": 0.907895}",0.275520,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb9_U91_384
"{""Ru"": 0.070332, ""U"": 0.878118, ""V"": 0.05155}",-1.833749,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru7_U88_V5_20
"{""Mn"": 0.037429000000000004, ""U"": 0.846197, ""Zr"": 0.116374}",0.335174,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn4_U85_Zr12_126
"{""Cr"": 0.08268099999999999, ""Fe"": 0.013932, ""U"": 0.903387}",0.307297,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr8_Fe1_U90_108
"{""Mo"": 0.06, ""Nb"": 0.045, ""U"": 0.895}",0.200786,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo6_Nb4_U90_110
"{""Fe"": 0.021906, ""U"": 0.978094}",-0.025799,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe2_U98_114
"{""U"": 0.927914, ""V"": 0.072086}",0.324822,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U93_V7_201
"{""Ru"": 0.017592, ""Ti"": 0.116138, ""U"": 0.86627}",0.115314,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru2_Ti12_U87_142
"{""Al"": 0.025223, ""U"": 0.974777}",-0.173591,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al3_U97_131
"{""Nb"": 0.118337, ""U"": 0.881663}",0.278276,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb12_U88_340
"{""U"": 0.96851, ""Zr"": 0.03149}",0.324745,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U97_Zr3_274
"{""Ru"": 0.040049, ""U"": 0.959951}",-1.826626,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru4_U96_24
"{""Nb"": 0.107251, ""Si"": 0.008997, ""U"": 0.883752}",0.279296,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb11_Si1_U88_111
"{""Mo"": 0.065669, ""U"": 0.934331}",0.201548,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo7_U93_246
"{""Mo"": 0.042928, ""U"": 0.957072}",0.203051,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo4_U96_116
"{""Ru"": 0.070011, ""U"": 0.929989}",-1.830926,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru7_U93_144
"{""Si"": 0.010839000000000001, ""U"": 0.989161}",-0.721402,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si1_U99_306
"{""Si"": 0.005073, ""Ti"": 0.080454, ""U"": 0.914473}",0.110443,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si1_Ti8_U91_160
"{""Ru"": 0.071883, ""U"": 0.928117}",-1.831225,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru7_U93_77
"{""U"": 0.93267, ""V"": 0.06733}",0.325475,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U93_V7_226
"{""Ru"": 0.019592000000000002, ""Ti"": 0.116138, ""U"": 0.86427}",0.115722,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru2_Ti12_U86_244
"{""Al"": 0.018589, ""Fe"": 0.043317, ""U"": 0.938094}",-0.044133,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al2_Fe4_U94_334
"{""Mo"": 0.067599, ""U"": 0.932401}",0.201432,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo7_U93_112
"{""Nb"": 0.10500000000000001, ""U"": 0.895}",0.276799,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb11_U90_137
"{""Ru"": 0.066332, ""U"": 0.882118, ""V"": 0.05155}",-1.833878,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru7_U88_V5_183
"{""Cr"": 0.097208, ""U"": 0.902792}",0.451113,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr10_U90_247
"{""Ru"": 0.025535, ""U"": 0.974465}",-1.824130,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru3_U97_198
"{""Ru"": 0.055574, ""U"": 0.944426}",-1.829150,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru6_U94_307
"{""Mo"": 0.017, ""U"": 0.983}",0.205480,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo2_U98_385
"{""Al"": 0.02174, ""U"": 0.946362, ""V"": 0.031898}",0.331795,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al2_U95_V3_38
"{""Mo"": 0.030256, ""U"": 0.969744}",0.204147,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo3_U97_8
"{""Ru"": 0.0697, ""U"": 0.833584, ""Zr"": 0.096716}",0.369386,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru7_U83_Zr10_10
"{""Ru"": 0.040608, ""Ti"": 0.028811, ""U"": 0.930581}",-1.828545,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru4_Ti3_U93_357
"{""Cr"": 0.04, ""U"": 0.96}",0.323135,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr4_U96_27
"{""Ti"": 0.033715, ""U"": 0.966285}",0.107198,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti3_U97_355
"{""Mn"": 0.024761000000000002, ""U"": 0.975239}",-0.046118,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn2_U98_30
"{""Al"": 0.029829, ""U"": 0.970171}",-0.174578,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al3_U97_185
"{""Ti"": 0.051334, ""U"": 0.948666}",0.108109,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti5_U95_389
"{""U"": 0.7030000000000001, ""Zr"": 0.297}",0.282722,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U70_Zr30_34
"{""Mo"": 0.125242, ""Ti"": 0.058511, ""U"": 0.816247}",0.200854,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo13_Ti6_U82_391
"{""Mn"": 0.018747, ""U"": 0.981253}",-0.044601,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn2_U98_300
"{""Cr"": 0.052511, ""U"": 0.947489}",0.479719,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr5_U95_70
"{""Ru"": 0.020261, ""Ti"": 0.054007, ""U"": 0.925732}",0.111626,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru2_Ti5_U93_207
"{""Mo"": 0.064599, ""U"": 0.935401}",0.201548,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo6_U94_51
"{""U"": 0.927, ""V"": 0.07300000000000001}",0.324639,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U93_V7_128
"{""Ru"": 0.021388, ""U"": 0.978612}",-1.823490,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru2_U98_292
"{""Ti"": 0.044133, ""U"": 0.955867}",0.107742,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti4_U96_43
"{""Nb"": 0.10903199999999999, ""U"": 0.890968}",0.277296,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb11_U89_10
"{""Mn"": 0.047834, ""U"": 0.952166}",-0.051533,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn5_U95_310
"{""Si"": 0.006809, ""Ti"": 0.035464999999999997, ""U"": 0.957726}",0.108157,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si1_Ti4_U96_322
"{""Fe"": 0.033859, ""U"": 0.92033, ""Zr"": 0.045811}",0.361045,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe3_U92_Zr5_326
"{""Ru"": 0.047522999999999996, ""U"": 0.863737, ""Zr"": 0.08874}",0.352059,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru5_U86_Zr9_213
"{""Ti"": 0.090791, ""U"": 0.909209}",0.110313,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti9_U91_65
"{""Mn"": 0.037531, ""Nb"": 0.051469, ""U"": 0.911}",0.280541,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn4_Nb5_U91_219
"{""Mn"": 0.060409000000000004, ""U"": 0.939591}",-0.054486,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn6_U94_45
"{""Cr"": 0.087381, ""U"": 0.912619}",0.456916,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr9_U91_6
"{""Mn"": 0.021917000000000002, ""Nb"": 0.092641, ""U"": 0.885442}",0.281072,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn2_Nb9_U89_158
"{""Nb"": 0.056989000000000005, ""U"": 0.943011}",0.272194,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb6_U94_277
"{""U"": 0.95, ""V"": 0.05}",0.330258,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U95_V5_383
"{""Ru"": 0.07801100000000001, ""U"": 0.921989}",-1.831681,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru8_U92_205
"{""Nb"": 6.2, ""U"": 75, ""Zr"": 18.8}",0.315778,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb620_U7500_Zr1880_358
"{""Fe"": 0.034700999999999996, ""U"": 0.965299}",-0.034044,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe3_U97_22
"{""Cr"": 0.043951, ""Mo"": 0.108413, ""U"": 0.8476360000000001}",0.203065,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr4_Mo11_U85_152
"{""Cr"": 0.068188, ""U"": 0.931812}",0.468991,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr7_U93_152
"{""Si"": 0.005424, ""Ti"": 0.105878, ""U"": 0.888698}",0.112089,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si1_Ti11_U89_39
"{""Al"": 0.012504999999999999, ""U"": 0.987495}",-0.179251,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al1_U99_34
"{""Al"": 0.020505, ""U"": 0.979495}",-0.177163,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al2_U98_49
"{""Nb"": 0.051471, ""U"": 0.948529}",0.271724,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb5_U95_324
"{""Al"": 0.031042999999999998, ""U"": 0.968957}",-0.171707,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al3_U97_342
"{""Cr"": 0.036571, ""U"": 0.963429}",0.491209,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr4_U96_276
"{""Nb"": 0.047161, ""U"": 0.952839}",0.271105,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb5_U95_21
"{""Al"": 0.022466, ""U"": 0.977534}",-0.176605,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al2_U98_213
"{""Si"": 0.010058999999999998, ""U"": 0.989941}",-0.721538,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si1_U99_293
"{""Ru"": 0.07208300000000001, ""U"": 0.927917}",-1.831225,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru7_U93_126
"{""Mo"": 0.082053, ""U"": 0.802307, ""Zr"": 0.11563999999999999}",0.358719,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo8_U80_Zr12_349
"{""Mo"": 0.037, ""U"": 0.963}",0.203548,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo4_U96_202
"{""U"": 0.954292, ""Zr"": 0.045708000000000006}",0.322296,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U95_Zr5_376
"{""Cr"": 0.09805, ""U"": 0.90195}",0.307025,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr10_U90_393
"{""U"": 0.7989999999999999, ""Zr"": 0.201}",0.297090,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U80_Zr20_145
"{""U"": 0.892768, ""Zr"": 0.107232}",0.311935,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U89_Zr11_25
"{""Mo"": 0.058269, ""U"": 0.941731}",0.201977,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo6_U94_56
"{""Fe"": 0.059019, ""U"": 0.940981}",-0.048827,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe6_U94_334
"{""Mo"": 0.120687, ""U"": 0.879313}",0.200160,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo12_U88_194
"{""Nb"": 0.083693, ""U"": 0.916307}",0.274738,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb8_U92_76
"{""Ti"": 0.041, ""U"": 0.959}",0.107565,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti4_U96_228
"{""Mo"": 0.043000000000000003, ""U"": 0.957}",0.203051,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo4_U96_251
"{""Ru"": 0.059423000000000004, ""U"": 0.940577}",-1.829729,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru6_U94_328
"{""U"": 0.959611, ""Zr"": 0.040388999999999994}",0.323234,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U96_Zr4_261
"{""Al"": 0.024561, ""U"": 0.975439}",-0.176047,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al2_U98_214
"{""Cr"": 0.054637, ""U"": 0.945363}",0.478263,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr5_U95_172
"{""Fe"": 0.052006, ""U"": 0.947994}",-0.044752,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe5_U95_167
"{""Mo"": 0.1008, ""U"": 0.8992}",0.200289,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo10_U90_27
"{""Ti"": 0.072223, ""U"": 0.864628, ""V"": 0.063149}",0.122981,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti7_U86_V6_369
"{""Fe"": 0.010015, ""U"": 0.989985}",-0.017826,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe1_U99_211
"{""Cr"": 0.052816, ""Mn"": 0.013775, ""U"": 0.933409}",0.316454,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr5_Mn1_U93_6
"{""U"": 20, ""Zr"": 80.0}",0.220210,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U2000_Zr8000_345
"{""Cr"": 0.084381, ""U"": 0.915619}",0.310195,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr8_U92_203
"{""Ru"": 0.018857, ""U"": 0.981143}",-1.822919,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru2_U98_197
"{""Mo"": 0.149101, ""U"": 0.850899}",0.200718,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo15_U85_251
"{""Ti"": 0.048499, ""U"": 0.951501}",0.107966,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti5_U95_212
"{""Ru"": 0.044738999999999994, ""U"": 0.955261}",-1.827647,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru4_U96_373
"{""Fe"": 0.019906, ""U"": 0.980094}",-0.024431,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe2_U98_109
"{""Mn"": 0.022747, ""U"": 0.977253}",-0.045621,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn2_U98_92
"{""Mn"": 0.014087, ""U"": 0.985913}",-0.043369,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn1_U99_345
"{""Nb"": 0.057229, ""U"": 0.942771}",0.272255,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb6_U94_39
"{""Cr"": 0.088107, ""Mn"": 0.05398, ""U"": 0.857914}",0.302637,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr9_Mn5_U86_97
"{""Si"": 0.014501, ""Ti"": 0.053901, ""U"": 0.931598}",0.110273,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si1_Ti5_U93_276
"{""Ti"": 33.3, ""U"": 66.7}",0.129824,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti3330_U6670_219
"{""Ti"": 0.087519, ""U"": 0.912481}",0.110157,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti9_U91_136
"{""Mn"": 0.035623, ""U"": 0.964377}",-0.048812,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn4_U96_55
"{""Mn"": 0.056327, ""U"": 0.943673}",-0.053717,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn6_U94_255
"{""Nb"": 0.070583, ""U"": 0.9294169999999999}",0.273486,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb7_U93_96
"{""Cr"": 0.052688000000000006, ""U"": 0.947312}",0.319053,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr5_U95_173
"{""Nb"": 0.042416, ""Ru"": 0.052634, ""U"": 0.90495}",-1.830844,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb4_Ru5_U90_254
"{""Ti"": 0.032464, ""U"": 0.967536}",0.107123,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti3_U97_136
"{""Ru"": 0.035734, ""U"": 0.964266}",-1.826069,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru4_U96_229
"{""U"": 0.928692, ""V"": 0.071308}",0.325060,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U93_V7_123
"{""Fe"": 0.054985, ""U"": 0.945015}",-0.046500,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe5_U95_42
"{""U"": 0.79548, ""V"": 0.073763, ""Zr"": 0.130757}",0.369386,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U80_V7_Zr13_109
"{""Mo"": 0.126202, ""U"": 0.751116, ""Zr"": 0.122682}",0.200534,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo13_U75_Zr12_268
"{""Cr"": 0.064257, ""U"": 0.935743}",0.471678,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr6_U94_354
"{""Mo"": 0.138197, ""Nb"": 0.153148, ""U"": 0.708655}",0.326026,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo14_Nb15_U71_227
"{""U"": 0.968037, ""V"": 0.031963}",0.332721,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U97_V3_312
"{""Ru"": 0.027592000000000002, ""Ti"": 0.116138, ""U"": 0.85627}",0.117443,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru3_Ti12_U86_270
"{""Al"": 0.021412999999999998, ""U"": 0.978587}",-0.176938,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al2_U98_33
"{""Cr"": 0.071953, ""U"": 0.928047}",0.466583,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr7_U93_137
"{""Ru"": 0.074211, ""U"": 0.871213, ""V"": 0.054576}",-1.833667,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru7_U87_V5_74
"{""Mn"": 0.037086, ""U"": 0.962914}",-0.049159,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn4_U96_141
"{""Mo"": 0.046343, ""U"": 0.953657}",0.202725,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo5_U95_70
"{""Ti"": 0.056167999999999996, ""U"": 0.825211, ""Zr"": 0.118621}",0.324745,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti6_U83_Zr12_246
"{""Mn"": 0.039699, ""U"": 0.960301}",-0.049621,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn4_U96_367
"{""Al"": 0.018612, ""U"": 0.918119, ""V"": 0.063269}",0.324462,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al2_U92_V6_170
"{""Ta"": 0.043341000000000005, ""Ti"": 0.106127, ""U"": 0.8505320000000001}",0.114368,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ta4_Ti11_U85_96
"{""Al"": 0.023413, ""U"": 0.976587}",-0.176381,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al2_U98_116
"{""Mo"": 0.035, ""U"": 0.965}",0.203725,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo4_U96_11
"{""Ru"": 0.060433, ""U"": 0.939567}",-1.829749,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru6_U94_280
"{""Mn"": 0.026896, ""U"": 0.973104}",-0.046628,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn3_U97_287
"{""Fe"": 0.021444, ""Mn"": 0.033106000000000003, ""U"": 0.94545}",-0.056513,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe2_Mn3_U95_319
"{""Mo"": 0.105277, ""U"": 0.894723}",0.200221,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo11_U89_320
